Sehir,Urun,Konum,En_Dusuk,En_Yuksek,Tarih
Ankara,Soğan Kuru Ii (Taze),Ankara Merkez,5.00,10.00,10.04.2026
Ankara,Patlıcan,Ankara Merkez,20.00,45.00,10.04.2026
Ankara,Salatalık,Ankara Merkez,20.00,40.00,10.04.2026
Ankara,Marul Göbekli (Marul),Ankara Merkez,40.00,85.00,10.04.2026
Ankara,Lahana (Kırmızı) (Kg),Ankara Merkez,20.00,40.00,10.04.2026
Ankara,Havuç Beypazarı,Ankara Merkez,12.00,38.00,10.04.2026
Ankara,Limon (Lamas),Ankara Merkez,50.00,95.00,10.04.2026
Ankara,Portakal (Sıkmalık),Ankara Merkez,15.00,40.00,10.04.2026
Ankara,Elma (Gala),Ankara Merkez,40.00,95.00,10.04.2026
Ankara,Çilek,Ankara Merkez,30.00,140.00,10.04.2026
Ankara,Kabak,Ankara Merkez,30.00,60.00,10.04.2026
Ankara,Fasulye (Çalı),Ankara Merkez,100.00,200.00,10.04.2026
Ankara,Bakla,Ankara Merkez,90.00,135.00,10.04.2026
Ankara,Karnabahar,Ankara Merkez,15.00,30.00,10.04.2026
Ankara,Pırasa,Ankara Merkez,15.00,30.00,10.04.2026
Ankara,Enginar (Salamura),Ankara Merkez,50.00,70.00,10.04.2026
Ankara,Enginar (Taze),Ankara Merkez,70.00,80.00,10.04.2026
Ankara,Nar,Ankara Merkez,80.00,175.00,10.04.2026
Ankara,Roka (70-100Gr),Ankara Merkez,5.00,18.00,10.04.2026
Ankara,Semizotu,Ankara Merkez,100.00,200.00,10.04.2026
Ankara,Mandalina,Ankara Merkez,20.00,40.00,10.04.2026
Ankara,Mandalina (W.murcoott),Ankara Merkez,20.00,60.00,10.04.2026
Ankara,Muz (Yerli),Ankara Merkez,20.00,90.00,10.04.2026
Ankara,Muz İthal,Ankara Merkez,105.00,160.00,10.04.2026
Ankara,Çağla (Kayısı),Ankara Merkez,50.00,130.00,10.04.2026
Ankara,Kereviz,Ankara Merkez,20.00,35.00,10.04.2026
Ankara,Maydanoz (70-100 Gr),Ankara Merkez,4.00,15.00,10.04.2026
Ankara,Armut (Ankara),Ankara Merkez,30.00,70.00,10.04.2026
Ankara,Armut (Deveci),Ankara Merkez,45.00,100.00,10.04.2026
Ankara,Armut (Santamaria),Ankara Merkez,50.00,110.00,10.04.2026
Ankara,Üzüm (Beyaz),Ankara Merkez,45.00,90.00,10.04.2026
Ankara,Üzüm (Kardinal),Ankara Merkez,80.00,200.00,10.04.2026
Ankara,Üzüm (Siyah),Ankara Merkez,60.00,120.00,10.04.2026
Ankara,Karpuz,Ankara Merkez,20.00,50.00,10.04.2026
Ankara,Nane (70-100 Gr),Ankara Merkez,5.00,16.00,10.04.2026
Ankara,Ayva,Ankara Merkez,80.00,190.00,10.04.2026
Ankara,Sarımsak (Kuru),Ankara Merkez,120.00,200.00,10.04.2026
Ankara,Sarımsak (Taze),Ankara Merkez,100.00,160.00,10.04.2026
Ankara,Tere (70-100Gr),Ankara Merkez,5.00,18.00,10.04.2026
Ankara,Turp (Beyaz),Ankara Merkez,10.00,18.00,10.04.2026
Ankara,Turp (Fındık),Ankara Merkez,10.00,17.00,10.04.2026
Ankara,Turp (Kırmızı),Ankara Merkez,10.00,18.00,10.04.2026
Ankara,Kivi (Yerli),Ankara Merkez,110.00,140.00,10.04.2026
Ankara,Erik (Anjelik),Ankara Merkez,65.00,110.00,07.04.2026
Ankara,Avokado,Ankara Merkez,50.00,80.00,10.04.2026
Antalya,Domates (Pembe),Antalya Merkez,60.00,120.00,10.04.2026
Antalya,Biber (Dolma),Antalya Merkez,100.00,180.00,10.04.2026
Antalya,Patates,Antalya Merkez,10.00,19.00,10.04.2026
Antalya,Soğan (Yeşil),Antalya Merkez,30.00,60.00,10.04.2026
Antalya,Patlıcan,Antalya Merkez,20.00,35.00,10.04.2026
Antalya,Marul (Düz),Antalya Merkez,30.00,55.00,10.04.2026
Antalya,Lahana (Beyaz),Antalya Merkez,20.00,35.00,10.04.2026
Antalya,Havuç (Beypazarı),Antalya Merkez,10.00,25.00,10.04.2026
Antalya,Lime Limon,Antalya Merkez,120.00,245.00,10.04.2026
Antalya,Portakal (Sıkmalık),Antalya Merkez,15.00,30.00,10.04.2026
Antalya,Elma (Grann Smith),Antalya Merkez,80.00,120.00,10.04.2026
Antalya,Çilek,Antalya Merkez,50.00,140.00,10.04.2026
Antalya,Kabak (Sakız),Antalya Merkez,25.00,45.00,10.04.2026
Antalya,Fasulye,Antalya Merkez,150.00,200.00,10.04.2026
Antalya,Brokoli,Antalya Merkez,50.00,100.00,10.04.2026
Antalya,Karnabahar,Antalya Merkez,30.00,60.00,10.04.2026
Antalya,Frenk Üzümü,Antalya Merkez,140.00,250.00,10.04.2026
Antalya,Muz (Yerli),Antalya Merkez,40.00,85.00,10.04.2026
Antalya,Dereotu,Antalya Merkez,10.00,15.00,10.04.2026
Antalya,Pırasa,Antalya Merkez,15.00,25.00,10.04.2026
Antalya,Roka,Antalya Merkez,5.00,12.00,10.04.2026
Antalya,Semizotu,Antalya Merkez,10.00,15.00,10.04.2026
Antalya,Muz İthal (1 Kg),Antalya Merkez,95.00,145.00,10.04.2026
Antalya,Armut (Santamariya),Antalya Merkez,60.00,100.00,10.04.2026
Antalya,Kivi,Antalya Merkez,80.00,140.00,10.04.2026
Antalya,Kereviz,Antalya Merkez,15.00,25.00,10.04.2026
Antalya,Nane,Antalya Merkez,10.00,12.00,10.04.2026
Antalya,Sarımsak (Taze),Antalya Merkez,100.00,150.00,10.04.2026
Antalya,Tere,Antalya Merkez,10.00,15.00,10.04.2026
Antalya,Tere Su,Antalya Merkez,10.00,15.00,10.04.2026
Antalya,Turp (Kırmızı),Antalya Merkez,10.00,25.00,10.04.2026
Antalya,Turp(Fındık),Antalya Merkez,10.00,25.00,10.04.2026
Antalya,Hıyar,Antalya Merkez,20.00,35.00,10.04.2026
Antalya,Hıyar (Slor Paket),Antalya Merkez,20.00,40.00,10.04.2026
Antalya,Greyfurt,Antalya Merkez,25.00,50.00,10.04.2026
Antalya,Maydonoz,Antalya Merkez,6.00,10.00,10.04.2026
Antalya,Pazı,Antalya Merkez,10.00,12.00,10.04.2026
Antalya,Avokado,Antalya Merkez,50.00,85.00,10.04.2026
Antalya,Mantar (Taze),Antalya Merkez,80.00,115.00,10.04.2026
Antalya,Pancar,Antalya Merkez,30.00,50.00,10.04.2026
Antalya,Ananas,Antalya Merkez,80.00,134.00,10.04.2026
Antalya,Böğürtlen,Antalya Merkez,200.00,380.00,10.04.2026
Antalya,Ispanak,Antalya Merkez,30.00,55.00,10.04.2026
Antalya,Ahududu,Antalya Merkez,200.00,300.00,10.04.2026
Antalya,Blue Berry,Antalya Merkez,80.00,150.00,10.04.2026
Antalya,Fesleğen,Antalya Merkez,10.00,20.00,10.04.2026
Antalya,Hindistan Cevizi,Antalya Merkez,60.00,85.00,10.04.2026
Antalya,Karadeniz Yaprağı,Antalya Merkez,7.00,15.00,10.04.2026
Balıkesir,Domates Cherry,Balıkesir Merkez,80.00,150.00,10.04.2026
Balıkesir,Biber Çarliston,Balıkesir Merkez,40.00,230.00,10.04.2026
Balıkesir,Patates Diğer,Balıkesir Merkez,12.00,30.00,10.04.2026
Balıkesir,Soğan Kuru Diğer,Balıkesir Merkez,7.00,17.00,10.04.2026
Balıkesir,Patlıcan Diğer,Balıkesir Merkez,25.00,160.00,10.04.2026
Balıkesir,Salatalık Diğer,Balıkesir Merkez,15.00,85.00,10.04.2026
Balıkesir,Marul Kıvırcık Diğer,Balıkesir Merkez,11.00,66.00,10.04.2026
Balıkesir,Brüksel Lahanası,Balıkesir Merkez,45.00,65.00,10.04.2026
Balıkesir,Havuç Diğer,Balıkesir Merkez,7.00,38.00,10.04.2026
Balıkesir,Limon Diğer,Balıkesir Merkez,30.00,100.00,10.04.2026
Balıkesir,Portakal Diğer,Balıkesir Merkez,15.00,60.00,10.04.2026
Balıkesir,Elma Golden,Balıkesir Merkez,50.00,110.00,10.04.2026
Balıkesir,Çilek,Balıkesir Merkez,35.00,180.00,10.04.2026
Balıkesir,Kabak Diğer,Balıkesir Merkez,50.00,55.00,09.04.2026
Balıkesir,Fasulye Taze Diğer,Balıkesir Merkez,80.00,180.00,10.04.2026
Balıkesir,Enginar,Balıkesir Merkez,100.00,350.00,10.04.2026
Balıkesir,Bakla Taze Diğer,Balıkesir Merkez,20.00,90.00,10.04.2026
Balıkesir,Bezelye Taze Diğer,Balıkesir Merkez,50.00,140.00,10.04.2026
Balıkesir,Brokoli,Balıkesir Merkez,25.00,120.00,10.04.2026
Balıkesir,Karnabahar Diğer,Balıkesir Merkez,7.00,150.00,10.04.2026
Balıkesir,Pırasa,Balıkesir Merkez,20.00,55.00,10.04.2026
Balıkesir,Roka,Balıkesir Merkez,10.00,15.00,10.04.2026
Balıkesir,Dereotu,Balıkesir Merkez,7.00,20.00,10.04.2026
Balıkesir,Semizotu,Balıkesir Merkez,20.00,30.00,10.04.2026
Balıkesir,Mandalina Diğer,Balıkesir Merkez,8.00,75.00,10.04.2026
Balıkesir,Muz Muz Yerli (Anamur),Balıkesir Merkez,30.00,140.00,10.04.2026
Balıkesir,Nar,Balıkesir Merkez,130.00,160.00,10.04.2026
Balıkesir,Karpuz Diğer,Balıkesir Merkez,70.00,80.00,10.04.2026
Balıkesir,Armut Deveci,Balıkesir Merkez,90.00,100.00,10.04.2026
Balıkesir,Şeftali,Balıkesir Merkez,800.00,900.00,10.04.2026
Balıkesir,Erik Anjelik,Balıkesir Merkez,50.00,65.00,10.04.2026
Balıkesir,Üzüm Beyaz Diğer,Balıkesir Merkez,95.00,250.00,10.04.2026
Balıkesir,Ayva,Balıkesir Merkez,90.00,200.00,10.04.2026
Balıkesir,Kereviz,Balıkesir Merkez,20.00,50.00,10.04.2026
Balıkesir,Nane,Balıkesir Merkez,13.00,17.00,10.04.2026
Balıkesir,Sarımsak Kuru,Balıkesir Merkez,45.00,240.00,10.04.2026
Balıkesir,Turp Beyaz,Balıkesir Merkez,10.00,35.00,10.04.2026
Balıkesir,Turp Kırmızı,Balıkesir Merkez,10.00,45.00,10.04.2026
Balıkesir,Frenk Üzümü,Balıkesir Merkez,900.00,1.000.00,10.04.2026
Balıkesir,Armut Margarit,Balıkesir Merkez,75.00,80.00,10.04.2026
Balıkesir,Muz Diğer,Balıkesir Merkez,2.000.00,2.520.00,10.04.2026
Balıkesir,Üzüm Beyaz Kırmızı,Balıkesir Merkez,250.00,350.00,10.04.2026
Balıkesir,Kivi,Balıkesir Merkez,75.00,150.00,10.04.2026
Balıkesir,Armut Diğer,Balıkesir Merkez,35.00,90.00,09.04.2026
Balıkesir,Armut Santamari,Balıkesir Merkez,85.00,110.00,10.04.2026
Balıkesir,Erik Papaz (Can),Balıkesir Merkez,200.00,1.000.00,10.04.2026
Balıkesir,Kavun Diğer,Balıkesir Merkez,185.00,230.00,10.04.2026
Balıkesir,Üzüm Beyaz Siyah,Balıkesir Merkez,300.00,350.00,10.04.2026
Bolu,Domates,Bolu Merkez,70.00,100.00,10.04.2026
Bolu,Biber Sivri,Bolu Merkez,110.00,135.00,10.04.2026
Bolu,T. Patates,Bolu Merkez,15.00,18.00,10.04.2026
Bolu,Y. Soğan,Bolu Merkez,65.00,70.00,10.04.2026
Bolu,Patlıcan,Bolu Merkez,50.00,65.00,10.04.2026
Bolu,Salatalık,Bolu Merkez,60.00,75.00,10.04.2026
Bolu,Marul Göbekli,Bolu Merkez,90.00,95.00,10.04.2026
Bolu,Kırmızı Lahana,Bolu Merkez,24.00,33.00,10.04.2026
Bolu,Havuç,Bolu Merkez,20.00,33.00,10.04.2026
Bolu,Limon Yatak sn.,Bolu Merkez,60.00,75.00,10.04.2026
Bolu,Portakal Antalya,Bolu Merkez,33.00,35.00,10.04.2026
Bolu,Elma Starkings ( Yerli ),Bolu Merkez,35.00,70.00,10.04.2026
Bolu,Çilek,Bolu Merkez,85.00,100.00,10.04.2026
Bolu,S. Kabak,Bolu Merkez,35.00,55.00,10.04.2026
Bolu,Fasulye Sırık,Bolu Merkez,110.00,150.00,10.04.2026
Bolu,Karnabahar,Bolu Merkez,60.00,65.00,10.04.2026
Bolu,Brokoli,Bolu Merkez,90.00,95.00,10.04.2026
Bolu,Mandalina Mersin,Bolu Merkez,30.00,45.00,10.04.2026
Bolu,Pırasa,Bolu Merkez,24.00,28.00,10.04.2026
Bolu,Maydanoz,Bolu Merkez,8.00,20.00,10.04.2026
Bolu,Roka,Bolu Merkez,20.00,22.00,10.04.2026
Bolu,Karpuz Muhtelif,Bolu Merkez,50.00,55.00,10.04.2026
Bolu,Armut Muhtelif,Bolu Merkez,40.00,75.00,10.04.2026
Bolu,Turp,Bolu Merkez,25.00,28.00,10.04.2026
Bolu,Yerli Muz,Bolu Merkez,60.00,68.00,10.04.2026
Bolu,İthal Muz,Bolu Merkez,115.00,117.00,10.04.2026
Bolu,Nane,Bolu Merkez,20.00,22.00,10.04.2026
Bolu,Tere,Bolu Merkez,20.00,22.00,10.04.2026
Bolu,Nar,Bolu Merkez,90.00,95.00,10.04.2026
Bolu,T. Sarımsak,Bolu Merkez,140.00,160.00,10.04.2026
Bolu,Kivi,Bolu Merkez,115.00,120.00,10.04.2026
Bolu,Kavun Pamukova,Bolu Merkez,90.00,100.00,10.04.2026
Bolu,Ayva,Bolu Merkez,100.00,110.00,10.04.2026
Bolu,Bakla Sakız,Bolu Merkez,70.00,75.00,05.04.2026
Bolu,Kereviz,Bolu Merkez,50.00,55.00,10.04.2026
Bolu,Greyfurt,Bolu Merkez,30.00,42.00,10.04.2026
Bolu,Mandalina izmir,Bolu Merkez,30.00,33.00,28.03.2026
Bolu,Y. Üzüm Muhtelif,Bolu Merkez,50.00,55.00,22.03.2026
Bolu,Ispanak,Bolu Merkez,40.00,42.00,10.04.2026
Bolu,Semiz Otu,Bolu Merkez,30.00,35.00,10.04.2026
Bolu,Dere Otu,Bolu Merkez,20.00,22.00,10.04.2026
Bolu,Trabzon Hurması,Bolu Merkez,80.00,85.00,06.03.2026
Bolu,Biber Dolma,Bolu Merkez,120.00,135.00,10.04.2026
Bolu,Biber Çarliston,Bolu Merkez,110.00,125.00,10.04.2026
Bolu,Biber Capya,Bolu Merkez,130.00,150.00,10.04.2026
Bolu,Marul Kıvırcık,Bolu Merkez,40.00,55.00,10.04.2026
Bolu,Portakal Vaşington Sn.,Bolu Merkez,35.00,42.00,10.04.2026
Bolu,Limon Dal Sn.,Bolu Merkez,45.00,55.00,10.04.2026
Denizli,Domates Sera,Denizli Merkez,90.00,100.00,10.04.2026
Denizli,Patates Agi̇ra,Denizli Merkez,35.00,40.00,10.04.2026
Denizli,Soğan Kuru,Denizli Merkez,20.00,30.00,10.04.2026
Denizli,Kirmizi Marul,Denizli Merkez,50.00,70.00,10.04.2026
Denizli,Lahana Beyaz,Denizli Merkez,10.00,20.00,10.04.2026
Denizli,Havuç,Denizli Merkez,20.00,30.00,10.04.2026
Denizli,Portakal Sikma,Denizli Merkez,15.00,25.00,10.04.2026
Denizli,Elma Yeşi̇l,Denizli Merkez,100.00,120.00,10.04.2026
Denizli,Kabak,Denizli Merkez,40.00,60.00,10.04.2026
Denizli,Bakla,Denizli Merkez,90.00,100.00,10.04.2026
Denizli,Brokoli̇,Denizli Merkez,110.00,130.00,10.04.2026
Denizli,Muz Yerli̇,Denizli Merkez,70.00,90.00,10.04.2026
Denizli,Roka,Denizli Merkez,10.00,20.00,10.04.2026
Denizli,Karpuz,Denizli Merkez,50.00,70.00,10.04.2026
Denizli,Armut Deveci̇,Denizli Merkez,90.00,100.00,10.04.2026
Denizli,Armut Santami̇ra,Denizli Merkez,100.00,120.00,10.04.2026
Denizli,Ayva,Denizli Merkez,90.00,120.00,10.04.2026
Denizli,Nar,Denizli Merkez,120.00,150.00,10.04.2026
Denizli,Üzüm Aşikara,Denizli Merkez,80.00,90.00,10.04.2026
Denizli,Üzüm Çeki̇rdeksi̇z,Denizli Merkez,80.00,90.00,10.04.2026
Denizli,Üzüm Rezaki̇,Denizli Merkez,80.00,90.00,10.04.2026
Denizli,Nane Taze,Denizli Merkez,10.00,20.00,10.04.2026
Denizli,Tere,Denizli Merkez,10.00,20.00,10.04.2026
Denizli,Turp,Denizli Merkez,25.00,35.00,10.04.2026
Denizli,Greyfurt,Denizli Merkez,60.00,70.00,10.04.2026
Denizli,Maydonoz,Denizli Merkez,10.00,20.00,10.04.2026
Denizli,Kir. Pancar,Denizli Merkez,50.00,70.00,10.04.2026
Denizli,Mantar,Denizli Merkez,120.00,140.00,10.04.2026
Denizli,Anjeli̇ka Mürdüm,Denizli Merkez,120.00,150.00,10.04.2026
Denizli,Bal Kabaği,Denizli Merkez,20.00,30.00,10.04.2026
Denizli,Fasülye (Sirik),Denizli Merkez,250.00,280.00,10.04.2026
Denizli,Fi̇ni̇ Bi̇ber,Denizli Merkez,150.00,200.00,10.04.2026
Denizli,Ki̇vi̇,Denizli Merkez,100.00,150.00,10.04.2026
Denizli,Patlican,Denizli Merkez,40.00,50.00,10.04.2026
Denizli,Patlican Topan,Denizli Merkez,40.00,50.00,10.04.2026
Denizli,Pirasa,Denizli Merkez,20.00,30.00,10.04.2026
Denizli,Salatalik,Denizli Merkez,30.00,50.00,10.04.2026
Denizli,Salatalik Turşu,Denizli Merkez,30.00,50.00,10.04.2026
Denizli,Eri̇k (Yeşi̇l),Denizli Merkez,700.00,900.00,10.04.2026
Denizli,Avakado,Denizli Merkez,60.00,100.00,10.04.2026
Denizli,Bi̇ber Çarli̇,Denizli Merkez,150.00,170.00,10.04.2026
Denizli,Ispanak,Denizli Merkez,30.00,50.00,10.04.2026
Denizli,K.bahar,Denizli Merkez,40.00,60.00,10.04.2026
Denizli,Kerevi̇z,Denizli Merkez,20.00,30.00,10.04.2026
Denizli,Salatalik Badem,Denizli Merkez,50.00,70.00,10.04.2026
Denizli,Sarimsak Kuru,Denizli Merkez,150.00,200.00,10.04.2026
Denizli,Bi̇ber Dolmalik,Denizli Merkez,130.00,140.00,10.04.2026
Denizli,Bi̇ber Kirmizi,Denizli Merkez,120.00,160.00,10.04.2026
Elazığ,Domatessalkım,Elazığ Merkez,70.00,125.00,10.04.2026
Elazığ,Biber(Sivri),Elazığ Merkez,125.00,170.00,10.04.2026
Elazığ,Patatestaze,Elazığ Merkez,14.00,18.00,10.04.2026
Elazığ,Soğankuru,Elazığ Merkez,13.00,18.00,10.04.2026
Elazığ,Patlıcankemer,Elazığ Merkez,50.00,80.00,10.04.2026
Elazığ,Salatalık,Elazığ Merkez,45.00,60.00,10.04.2026
Elazığ,Marul,Elazığ Merkez,50.00,70.00,10.04.2026
Elazığ,kara lahana,Elazığ Merkez,30.00,35.00,10.04.2026
Elazığ,Havuç,Elazığ Merkez,22.00,30.00,10.04.2026
Elazığ,Limon,Elazığ Merkez,70.00,85.00,10.04.2026
Elazığ,Portakal,Elazığ Merkez,30.00,40.00,10.04.2026
Elazığ,Elma (Golden),Elazığ Merkez,65.00,77.00,10.04.2026
Elazığ,Çilek,Elazığ Merkez,130.00,140.00,10.04.2026
Elazığ,Kabaktaze,Elazığ Merkez,38.00,60.00,10.04.2026
Elazığ,ıspanak,Elazığ Merkez,30.00,35.00,10.04.2026
Elazığ,Brokoli,Elazığ Merkez,60.00,75.00,10.04.2026
Elazığ,Roka,Elazığ Merkez,15.00,20.00,10.04.2026
Elazığ,Muzanamur,Elazığ Merkez,65.00,75.00,10.04.2026
Elazığ,Armutbursa,Elazığ Merkez,85.00,110.00,10.04.2026
Elazığ,Armutdeveci,Elazığ Merkez,90.00,100.00,10.04.2026
Elazığ,Muzithal,Elazığ Merkez,110.00,125.00,10.04.2026
Elazığ,Ayva,Elazığ Merkez,130.00,150.00,10.04.2026
Elazığ,Kereviz,Elazığ Merkez,30.00,45.00,10.04.2026
Elazığ,Kivi,Elazığ Merkez,135.00,150.00,10.04.2026
Elazığ,Nane,Elazığ Merkez,8.00,15.00,10.04.2026
Elazığ,Sarımsakkuru,Elazığ Merkez,130.00,160.00,10.04.2026
Elazığ,Tere,Elazığ Merkez,14.00,20.00,10.04.2026
Elazığ,Turp,Elazığ Merkez,15.00,20.00,10.04.2026
Elazığ,Greyfurt,Elazığ Merkez,35.00,38.00,10.04.2026
Elazığ,Karnıbahar,Elazığ Merkez,45.00,70.00,10.04.2026
Elazığ,Mantar,Elazığ Merkez,188.00,280.00,10.04.2026
Elazığ,Mandalina,Elazığ Merkez,35.00,40.00,23.03.2026
Elazığ,Maydanos,Elazığ Merkez,7.00,10.00,10.04.2026
Elazığ,Kavun,Elazığ Merkez,90.00,110.00,23.03.2026
Elazığ,Nar,Elazığ Merkez,80.00,100.00,23.03.2026
Elazığ,Ananas,Elazığ Merkez,125.00,135.00,10.04.2026
Elazığ,Arnavut,Elazığ Merkez,230.00,280.00,10.04.2026
Elazığ,Avakado,Elazığ Merkez,265.00,280.00,10.04.2026
Elazığ,Dere,Elazığ Merkez,9.00,18.00,10.04.2026
Elazığ,Silor,Elazığ Merkez,125.00,150.00,10.04.2026
Elazığ,Badem,Elazığ Merkez,240.00,250.00,10.04.2026
Elazığ,Kestane,Elazığ Merkez,280.00,400.00,23.03.2026
Elazığ,cennet hurma,Elazığ Merkez,100.00,140.00,23.03.2026
Elazığ,Biber (Kırmızı Kapya),Elazığ Merkez,140.00,180.00,10.04.2026
Elazığ,Biber (Yeşil Kapya),Elazığ Merkez,90.00,130.00,10.04.2026
Elazığ,Biber Dolma,Elazığ Merkez,150.00,180.00,10.04.2026
Elazığ,Biberçarliston,Elazığ Merkez,110.00,150.00,10.04.2026
Elazığ,Marulkıvırcık,Elazığ Merkez,50.00,75.00,10.04.2026
Eskişehir,DOMATES (DİĞER),Eskişehir Merkez,17.00,120.00,10.04.2026
Eskişehir,PATATES (DİĞER),Eskişehir Merkez,4.20,24.00,10.04.2026
Eskişehir,SOĞAN KURU (DİĞER),Eskişehir Merkez,10.00,13.00,10.04.2026
Eskişehir,MARUL ICEBERG,Eskişehir Merkez,65.00,130.00,10.04.2026
Eskişehir,BEYAZ LAHANA (DİĞER),Eskişehir Merkez,5.00,22.00,10.04.2026
Eskişehir,HAVUÇ (KIRMIZI),Eskişehir Merkez,4.50,15.00,10.04.2026
Eskişehir,PORTAKAL (DİĞER),Eskişehir Merkez,7.00,45.00,10.04.2026
Eskişehir,ELMA (DİĞER),Eskişehir Merkez,13.00,100.00,10.04.2026
Eskişehir,KABAK (DİĞER),Eskişehir Merkez,12.00,70.00,10.04.2026
Eskişehir,FASULYE TAZE (ÇALI),Eskişehir Merkez,61.00,160.00,10.04.2026
Eskişehir,BAKLA TAZE (DİĞER),Eskişehir Merkez,20.00,130.00,10.04.2026
Eskişehir,DEREOTU (YAŞ-TAZE),Eskişehir Merkez,12.00,18.00,10.04.2026
Eskişehir,ROKA,Eskişehir Merkez,10.00,20.00,10.04.2026
Eskişehir,KARNABAHAR (DİĞER),Eskişehir Merkez,12.00,65.00,10.04.2026
Eskişehir,MAYDANOZ,Eskişehir Merkez,9.00,92.00,10.04.2026
Eskişehir,MUZ (DİĞER),Eskişehir Merkez,27.00,130.00,10.04.2026
Eskişehir,MUZ (MUZ YERLİ(ANAMUR)),Eskişehir Merkez,20.00,80.00,10.04.2026
Eskişehir,ARMUT (DİĞER),Eskişehir Merkez,26.00,100.00,10.04.2026
Eskişehir,KARPUZ (DİĞER),Eskişehir Merkez,8.00,21.00,10.04.2026
Eskişehir,NAR,Eskişehir Merkez,30.00,135.00,10.04.2026
Eskişehir,KAVUN (DİĞER),Eskişehir Merkez,185.00,240.00,10.04.2026
Eskişehir,BROKOLİ,Eskişehir Merkez,40.00,160.00,08.04.2026
Eskişehir,NANE,Eskişehir Merkez,12.00,20.00,10.04.2026
Eskişehir,TERE (DİĞER),Eskişehir Merkez,10.00,15.00,10.04.2026
